make,model,year,engine_hp,engine_cylinders,transmission_type,vehicle_style,highway_mpg,city_mpg,price,above_average
BMW,1 Series M,2011,335.0,6.0,MANUAL,Coupe,26,19,46135,1
BMW,1 Series,2011,300.0,6.0,MANUAL,Convertible,28,19,40650,1
BMW,1 Series,2011,300.0,6.0,MANUAL,Coupe,28,20,36350,0
BMW,1 Series,2011,230.0,6.0,MANUAL,Coupe,28,18,29450,0
BMW,1 Series,2011,230.0,6.0,MANUAL,Convertible,28,18,34500,0
BMW,1 Series,2012,230.0,6.0,MANUAL,Coupe,28,18,31200,0
BMW,1 Series,2012,300.0,6.0,MANUAL,Convertible,26,17,44100,1
BMW,1 Series,2012,300.0,6.0,MANUAL,Coupe,28,20,39300,0
BMW,1 Series,2012,230.0,6.0,MANUAL,Convertible,28,18,36900,0
BMW,1 Series,2013,230.0,6.0,MANUAL,Convertible,27,18,37200,0
BMW,1 Series,2013,300.0,6.0,MANUAL,Coupe,28,20,39600,0
BMW,1 Series,2013,230.0,6.0,MANUAL,Coupe,28,19,31500,0
BMW,1 Series,2013,300.0,6.0,MANUAL,Convertible,28,19,44400,1
BMW,1 Series,2013,230.0,6.0,MANUAL,Convertible,28,19,37200,0
BMW,1 Series,2013,230.0,6.0,MANUAL,Coupe,28,19,31500,0
BMW,1 Series,2013,320.0,6.0,MANUAL,Convertible,25,18,48250,1
BMW,1 Series,2013,320.0,6.0,MANUAL,Coupe,28,20,43550,1
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1992,172.0,6.0,AUTOMATIC,Wagon,20,16,2000,0
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1992,172.0,6.0,MANUAL,Sedan,21,16,2000,0
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1993,172.0,6.0,AUTOMATIC,Wagon,20,16,2000,0
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000,0
Audi,100,1993,172.0,6.0,MANUAL,Sedan,21,16,2000,0
Audi,100,1994,172.0,6.0,AUTOMATIC,Wagon,21,16,2000,0
Audi,100,1994,172.0,6.0,MANUAL,Sedan,22,16,2000,0
Audi,100,1994,172.0,6.0,MANUAL,Sedan,22,17,2000,0
Audi,100,1994,172.0,6.0,AUTOMATIC,Sedan,22,16,2000,0
Audi,100,1994,172.0,6.0,AUTOMATIC,Wagon,21,16,2000,0
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,27495,0
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,24995,0
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,28195,0
Mercedes-Benz,190-Class,1991,130.0,4.0,MANUAL,Sedan,26,18,2000,0
Mercedes-Benz,190-Class,1991,158.0,6.0,MANUAL,Sedan,25,17,2000,0
Mercedes-Benz,190-Class,1992,158.0,6.0,MANUAL,Sedan,25,17,2000,0
Mercedes-Benz,190-Class,1992,130.0,4.0,MANUAL,Sedan,26,18,2000,0
Mercedes-Benz,190-Class,1993,130.0,4.0,MANUAL,Sedan,26,18,2000,0
Mercedes-Benz,190-Class,1993,158.0,6.0,MANUAL,Sedan,25,17,2000,0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Coupe,35,23,32850,0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Convertible,34,23,38650,0
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Convertible,31,20,48750,1
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Coupe,35,23,34850,0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Convertible,34,22,40650,1
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Coupe,31,20,44150,1
BMW,2 Series,2016,240.0,4.0,MANUAL,Coupe,34,22,32850,0
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Coupe,30,20,46150,1
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Convertible,30,20,50750,1
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Coupe,31,21,46450,1
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Convertible,32,21,49050,1
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Convertible,32,21,51050,1
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Coupe,32,21,44450,1
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Convertible,34,23,38950,0
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Coupe,35,24,33150,0
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Coupe,33,24,35150,0
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Convertible,33,23,40950,1
Audi,200,1990,162.0,5.0,AUTOMATIC,Sedan,20,16,2000,0
Audi,200,1990,162.0,5.0,MANUAL,Wagon,22,15,2000,0
Audi,200,1990,162.0,5.0,MANUAL,Sedan,23,15,2000,0
Audi,200,1991,217.0,5.0,MANUAL,Sedan,22,16,2000,0
Audi,200,1991,217.0,5.0,MANUAL,Wagon,22,16,2000,0
Audi,200,1991,162.0,5.0,AUTOMATIC,Sedan,20,16,2000,0
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,25170,0
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,23950,0
Chrysler,200,2015,295.0,6.0,AUTOMATIC,Sedan,29,18,29370,0
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,21995,0
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,26625,0
Chrysler,200,2015,295.0,6.0,AUTOMATIC,Sedan,29,18,30825,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,21995,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,27795,0
Chrysler,200,2016,295.0,6.0,AUTOMATIC,Sedan,29,18,31785,0
Chrysler,200,2016,295.0,6.0,AUTOMATIC,Sedan,29,18,29905,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,22490,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,27570,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,25690,0
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,24490,0
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,29905,0
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,31785,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,26685,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,22490,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,25690,0
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,30900,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,27795,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,21995,0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,24490,0
Nissan,200SX,1996,115.0,4.0,MANUAL,Coupe,36,26,2000,0
Nissan,200SX,1996,115.0,4.0,MANUAL,Coupe,36,26,2000,0
Nissan,200SX,1996,140.0,4.0,MANUAL,Coupe,29,21,2000,0
Nissan,200SX,1997,140.0,4.0,MANUAL,Coupe,29,21,2000,0
Nissan,200SX,1997,115.0,4.0,MANUAL,Coupe,35,25,2000,0
Nissan,200SX,1997,115.0,4.0,MANUAL,Coupe,35,25,2000,0
Nissan,200SX,1998,115.0,4.0,MANUAL,Coupe,35,25,2000,0
Nissan,200SX,1998,115.0,4.0,MANUAL,Coupe,35,25,2000,0
Nissan,200SX,1998,140.0,4.0,MANUAL,Coupe,28,20,2073,0
Nissan,240SX,1996,155.0,4.0,MANUAL,Coupe,26,19,3713,0
Nissan,240SX,1996,155.0,4.0,MANUAL,Coupe,26,19,3520,0
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,3910,0
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,4182,0
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,4107,0
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4299,0
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4693,0
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4107,0
Volvo,240,1991,114.0,4.0,MANUAL,Wagon,26,19,2000,0
Volvo,240,1991,114.0,4.0,AUTOMATIC,Wagon,23,18,2000,0
Volvo,240,1991,114.0,4.0,MANUAL,Sedan,26,19,2000,0
Volvo,240,1992,114.0,4.0,MANUAL,Sedan,26,19,2000,0
Volvo,240,1992,114.0,4.0,MANUAL,Wagon,26,19,2000,0
